iter	Passed	Remaining
0	28	28287
1	51	25720
2	66	22185
3	80	20139
4	98	19594
5	119	19720
6	134	19099
7	150	18612
8	165	18247
99	184	18294110	200	18014111	214	17694112	227	17292113	241	17000114	259	17040115	273	16825116	285	16505117	298	16277118	310	16054119	324	15883220	343	16014221	359	16002222	375	15934223	389	15844224	404	15770225	419	15715226	431	15562227	443	15401228	460	15416229	476	15418330	492	15391331	504	15264332	516	15129333	528	15023334	541	14941335	559	14990336	572	14911337	587	14877338	600	14806339	614	14757440	633	14814441	647	14764442	653	14551443	668	14520444	682	14479445	695	14420446	709	14396447	723	14350448	737	14307449	751	14287550	767	14285551	782	1426152	804	14368
53	818	14339
54	831	14294
55	846	14268
56	863	14289
57	880	14298
58	895	14276
59	908	14234
60	923	14214
61	940	14225
62	954	14193
63	966	14129
64	980	14102
65	994	14077
66	1011	14079667	1025	14056668	1038	14012669	1050	13962770	1067	13963771	1086	14009772	1104	14022773	1119	14010774	1136	14021775	1156	14055776	1171	14039777	1186	14027778	1201	14003779	1217	13998880	1233	13991881	1248	13972882	1263	13958883	1277	13934884	1296	13959885	1316	13986886	1331	13973887	1348	13979888	1368	14006889	1392	14080990	1408	140669991	1421	14039992	1439	14049393	1461	14089494	1482	14129995	1500	14139696	1519	14149797	1534	141298	1531	13935
99	1543	13890
100	1554	13840
101	1570	13829
102	1585	13810
103	1598	13768
104	1612	13748
105	1624	13702
106	1635	13646
107	1649	13624
108	1665	13611
109	1678	13581
110	1691	13550
111	1704	13517
112	1719	13499
113	1736	13495
114	1750	13472
115	1764	13442
116	1784	13470
117	1801	13465
118	1819	13471
119	1836	13471
120	1854	13469
121	1873	13485
122	1892	13491
123	1905	13461
124	1921	13453
125	1940	13460
126	1956	13448
127	1974	13449
128	1991	13443
129	2004	13417
130	2018	13392
131	2033	13369
132	2045	13332
133	2056	13291
134	2067	13248
135	2079	13210
136	2097	13215
137	2113	13202
138	2127	13179
139	2140	13151
140	2153	13118
141	2168	13099
142	2179	13064
143	2191	13029
144	2203	12995
145	2216	12962
146	2227	12924
147	2239	12891
148	2252	12864
149	2263	12828
150	2274	12787
151	2285	12747
152	2296	12712
153	2307	12674
154	2317	12635
155	2328	12600
156	2340	12564
157	2349	12520
158	2359	12480
159	2368	12435
160	2378	12392
161	2388	12356
162	2402	12337
163	2414	12307
164	2425	12274
165	2435	12234
166	2446	12205
167	2460	12185
168	2472	12157
169	2483	12126
170	2494	12093
171	2505	12062
172	2516	12029
173	2528	12002
174	2542	11984
175	2559	11981
176	2572	11960
177	2585	11940
178	2597	11913
179	2613	11904
180	2625	11881
181	2637	11853
182	2649	11826
183	2660	11796
184	2670	11766
185	2683	11742
186	2695	11721
187	2708	11699
188	2719	11671
189	2730	11641
190	2740	11609
191	2749	11571
192	2760	11543
193	2773	11523
194	2785	11498
195	2795	11466
196	2807	11443
197	2815	11405
198	2823	11364
199	2834	11336
200	2846	11316
201	2858	11291
202	2868	11261
203	2878	11230
204	2887	11198
205	2896	11165
206	2906	11133
207	2920	11120
208	2931	11094
209	2943	11071
210	2954	11048
211	2964	11017
212	2974	10990
213	2985	10965
214	2998	10948
215	3009	10923
216	3020	10899
217	3030	10871
218	3041	10847
219	3054	10829
220	3066	10809
221	3077	10785
222	3087	10757
223	3097	10729
224	3107	10702
225	3117	10676
226	3126	10646
227	3138	10627
228	3148	10600
229	3157	10571
230	3166	10542
231	3175	10511
232	3182	10476
233	3191	10448
234	3202	10423
235	3211	10397
236	3224	10379
237	3231	10347
238	3240	10318
239	3248	10286
240	3256	10256
241	3265	10228
242	3274	10201
243	3286	10181
244	3297	10160
245	3305	10131
246	3315	10108
247	3325	10083
248	3334	10056
249	3343	10031
250	3354	10009
251	3365	9988
252	3374	9963
253	3383	9936
254	3391	9908
255	3399	9878
256	3406	9849
257	3414	9819
258	3422	9793
259	3433	9770
260	3442	9747
261	3450	9719
262	3457	9689
263	3465	9660
264	3471	9629
265	3479	9600
266	3486	9571
267	3493	9540
268	3501	9514
269	3509	9489
270	3518	9463
271	3525	9434
272	3532	9408
273	3540	9381
274	3548	9355
275	3556	9328
276	3564	9303
277	3574	9282
278	3584	9262
279	3592	9238
280	3601	9214
281	3607	9186
282	3614	9158
283	3622	9132
284	3630	9109
285	3640	9087
286	3652	9074
287	3671	9075
288	3682	9060
289	3693	9041
290	3702	9021
291	3711	8999
292	3720	8977
293	3730	8958
294	3740	8939
295	3748	8915
296	3756	8891
297	3764	8867
298	3771	8841
299	3778	8816
300	3785	8791
30301	3804	879302	3798	8738
303	3807	8717
30304	3831	872305	3824	8672
3306	3842	86743307	3851	86523308	3859	86313309	3870	86143310	3878	85933311	3889	8577312	3888	8535
313	3896	8513
314	3904	8490
315	3912	8469
316	3920	8446
317	3928	8425
318	3936	8403
319	3946	8387
320	3956	8369
321	3965	8350
322	3974	8330
323	3982	8308
324	3989	8285
325	3996	8261
326	4003	8240
327	4013	8222
328	4022	8203
329	4029	8180
330	4037	8160
331	4045	8140
332	4053	8119
333	4060	8096
334	4068	8076
335	4075	8053
336	4083	8032
337	4090	8012
338	4099	7993
339	4109	7976
340	4117	7958
341	4125	7937
342	4133	7918
343	4143	7901
344	4153	7885
345	4164	7872
346	4177	7861
347	4187	7845
348	4196	7828
349	4202	7805
350	4211	7786
351	4218	7766
3352	4237	7766353	4234	7727
3354	4254	77303355	4265	77153356	4272	76953357	4279	76753358	4287	76543359	4295	76363360	4303	76163361	4311	75993362	4320	75823363	4328	75633364	4338	75483365	4348	75333366	4358	75163367	4366	74983368	4373	74793369	4381	74603370	4389	74423371	4399	74263372	4408	74093373	4417	73943374	4425	73763375	4433	73573376	4440	7338
377	4448	7319
378	4454	7299
379	4463	7282
380	4472	7266
381	4480	7248
382	4489	7232
383	4497	7214
384	4505	7196
385	4511	7177
386	4519	7158
387	4527	7140
388	4535	7123
389	4543	7107
390	4553	7092
391	4565	7080
392	4574	7065
393	4582	7047
394	4589	7029
395	4597	7011
396	4604	6994
397	4613	6977
398	4621	6960
399	4629	6944
400	4638	6928
401	4646	6912
402	4654	6895
403	4662	6878
404	4669	6860
405	4678	6844
406	4686	6828
407	4694	6812
408	4706	6801
409	4717	6788
410	4727	6774
411	4736	6760
412	4744	6743
413	4753	6728
414	4761	6711
415	4772	6699
416	4787	6693
417	4799	6682
418	4810	6669
419	4820	6656
420	4831	6644
421	4840	6630
422	4850	6615
423	4861	6604
424	4871	6590
425	4880	6576
426	4889	6561
427	4897	6545
428	4905	6529
429	4913	6513
430	4922	6498
431	4931	6483
432	4940	6469
433	4949	6454
434	4956	6437
435	4963	6420
436	4971	6404
437	4979	6389
438	4986	6372
439	4995	6357
440	5003	6342
441	5009	6324
442	5017	6308
443	5025	6292
444	5032	6276
445	5039	6259
446	5046	6243
447	5054	6227
448	5062	6212
449	5071	6198
450	5082	6187
451	5091	6172
452	5098	6156
453	5106	6140
454	5113	6125
455	5120	6108
456	5128	6093
457	5136	6078
458	5145	6064
459	5154	6050
460	5162	6035
461	5170	6021
462	5177	6005
463	5185	5990
464	5193	5975
465	5202	5961
466	5211	5947
467	5222	5936
468	5232	5924
469	5243	5912
470	5252	5899
471	5261	5885
472	5266	5867
473	5274	5852
474	5282	5839
475	5294	5828
476	5302	5814
477	5312	5801
478	5321	5787
479	5329	5773
480	5336	5758
481	5343	5742
482	5352	5728
483	5360	5715
484	5370	5702
485	5379	5689
486	5388	5675
487	5396	5661
488	5403	5646
489	5410	5631
490	5418	5617
491	5427	5604
492	5437	5592
493	5446	5579
494	5455	5566
495	5464	5552
496	5473	5539
497	5481	5525
498	5489	5511
499	5496	5496
500	5505	5483
501	5514	5470
502	5524	5458
503	5533	5445
504	5542	5433
505	5550	5418
506	5557	5404
507	5565	5390
508	5573	5376
509	5581	5362
510	5589	5348
511	5599	5337
512	5609	5325
513	5616	5310
514	5624	5296
515	5631	5282
516	5639	5268
517	5647	5255
518	5656	5242
519	5663	5227
520	5672	5215
521	5680	5201
522	5688	5188
523	5698	5176
524	5708	5164
525	5718	5153
526	5725	5139
527	5733	5125
528	5740	5111
529	5749	5098
530	5757	5084
531	5766	5072
532	5777	5061
533	5788	5051
534	5799	5040
535	5808	5028
536	5817	5015
537	5826	5003
538	5833	4989
539	5841	4975
540	5848	4962
541	5857	4949
542	5865	4936
543	5878	4927
544	5887	4915
545	5896	4903
546	5905	4890
547	5914	4878
548	5923	4865
549	5932	4853
550	5941	4841
551	5949	4828
552	5957	4815
553	5965	4802
554	5972	4788
555	5980	4776
556	5988	4763
557	5996	4749
558	6005	4737
559	6014	4725
560	6022	4713
561	6032	4701
562	6040	4688
563	6047	4675
564	6053	4661
565	6061	4648
566	6069	4635
567	6079	4623
568	6089	4612
569	6099	4601
570	6107	4588
571	6114	4575
572	6121	4562
573	6129	4548
574	6137	4536
575	6147	4525
576	6157	4513
577	6167	4502
578	6175	4490
579	6182	4477
580	6190	4464
581	6198	4451
582	6205	4438
583	6213	4425
584	6221	4413
585	6230	4401
586	6238	4388
587	6246	4376
588	6254	4364
589	6262	4352
590	6270	4339
591	6277	4326
592	6286	4314
593	6295	4303
594	6304	4291
595	6314	4280
596	6323	4268
597	6331	4256
598	6338	4243
599	6346	4231
600	6354	4218
601	6363	4207
602	6372	4195
603	6382	4184
604	6393	4174
605	6400	4161
606	6408	4149
607	6417	4137
608	6424	4124
609	6432	4112
610	6440	4100
611	6451	4089
612	6460	4078
613	6471	4068
614	6479	4056
615	6488	4044
616	6497	4033
617	6506	4021
618	6513	4009
619	6523	3997
620	6533	3987
621	6542	3976
622	6550	3964
623	6558	3951
624	6565	3939
625	6572	3926
626	6580	3914
627	6587	3901
628	6597	3891
629	6608	3881
630	6618	3870
631	6625	3857
632	6633	3845
633	6640	3833
634	6649	3822
635	6658	3810
636	6666	3798
637	6676	3788
638	6686	3777
639	6696	3766
640	6705	3755
641	6714	3744
642	6722	3732
643	6730	3720
644	6738	3708
645	6751	3699
646	6762	3689
647	6771	3678
648	6780	3667
649	6789	3655
650	6798	3644
651	6806	3633
652	6815	3621
653	6824	3610
654	6834	3599
655	6843	3588
656	6852	3577
657	6859	3565
658	6867	3553
659	6876	3542
660	6884	3530
661	6895	3520
662	6907	3510
663	6915	3499
664	6922	3487
665	6930	3475
666	6937	3463
667	6944	3451
668	6952	3439
669	6961	3428
670	6973	3419
671	6985	3409
672	6995	3399
673	7006	3389
674	7016	3378
675	7025	3367
676	7034	3356
677	7043	3345
678	7053	3334
679	7063	3323
680	7072	3312
681	7079	3301
682	7087	3289
683	7095	3278
684	7103	3266
685	7113	3256
686	7123	3245
687	7133	3234
688	7141	3223
689	7149	3211
690	7156	3200
691	7163	3188
692	7170	3176
693	7178	3165
694	7189	3155
695	7198	3144
696	7207	3133
697	7213	3120
698	7220	3109
699	7227	3097
700	7234	3085
701	7242	3074
702	7251	3063
703	7259	3052
704	7268	3041
705	7276	3030
706	7285	3019
707	7292	3007
708	7299	2996
709	7307	2984
710	7315	2973
711	7323	2962
712	7332	2951
713	7342	2941
714	7352	2930
715	7361	2919
716	7370	2909
717	7378	2897
718	7386	2886
719	7395	2875
720	7403	2865
721	7413	2854
722	7423	2844
723	7434	2833
724	7442	2823
725	7451	2812
726	7459	2801
727	7467	2790
728	7476	2779
729	7485	2768
730	7495	2758
731	7504	2747
732	7512	2736
733	7521	2725
734	7529	2714
735	7537	2703
736	7545	2692
737	7552	2681
738	7562	2670
739	7571	2660
740	7581	2649
741	7590	2639
742	7597	2628
743	7605	2616
744	7613	2605
745	7621	2595
746	7629	2584
747	7637	2573
748	7647	2562
749	7655	2551
750	7663	2540
751	7671	2529
752	7679	2519
753	7687	2508
754	7695	2497
755	7704	2486
756	7714	2476
757	7724	2466
758	7733	2455
759	7742	2444
760	7750	2434
761	7759	2423
762	7768	2413
763	7778	2402
764	7788	2392
765	7796	2381
766	7805	2371
767	7812	2360
768	7820	2349
769	7827	2338
770	7835	2327
771	7844	2316
772	7852	2305
773	7862	2295
774	7873	2285
775	7881	2275
776	7887	2263
777	7896	2253
778	7904	2242
779	7911	2231
780	7920	2220
781	7929	2210
782	7939	2200
783	7949	2190
784	7958	2179
785	7965	2168
786	7973	2157
787	7979	2146
788	7986	2135
789	7995	2125
790	8005	2115
791	8016	2105
792	8025	2094
793	8035	2084
794	8045	2074
795	8054	2064
796	8064	2054
797	8074	2043
798	8090	2035
799	8103	2025
800	8113	2015
801	8123	2005
802	8132	1995
803	8144	1985
804	8155	1975
805	8166	1965
806	8175	1955
807	8183	1944
808	8192	1934
809	8200	1923
810	8209	1913
811	8220	1903
812	8230	1893
813	8241	1883
814	8252	1873
815	8263	1863
816	8271	1852
817	8280	1842
818	8290	1832
819	8300	1822
820	8309	1811
821	8319	1801
822	8329	1791
823	8338	1780
824	8347	1770
825	8358	1760
826	8367	1750
827	8378	1740
828	8388	1730
829	8399	1720
830	8409	1710
831	8416	1699
832	8423	1688
833	8431	1678
834	8439	1667
835	8450	1657
836	8460	1647
837	8470	1637
838	8479	1627
839	8487	1616
840	8497	1606
841	8508	1596
842	8518	1586
843	8531	1576
844	8541	1566
845	8551	1556
846	8559	1546
847	8568	1535
848	8577	1525
849	8586	1515
850	8596	1505
851	8608	1495
852	8618	1485
853	8628	1475
854	8636	1464
855	8644	1454
856	8654	1444
857	8663	1433
858	8674	1423
859	8685	1413
860	8695	1403
861	8704	1393
862	8713	1383
863	8723	1373
864	8733	1363
865	8741	1352
866	8753	1342
867	8763	1332
868	8773	1322
869	8782	1312
870	8790	1301
871	8798	1291
872	8807	1281
